,name,geometry,probability
279,340365200,POINT (170487.8106887192 482512.57709023746),2.4696087785421265e-05
280,395487168,POINT (197955.23892501538 543713.1099888792),1.3770996275875405e-05
281,396488031,POINT (198016.33497124806 544130.1039839538),1.186457694446739e-05
282,195327101,POINT (97710.51838768554 463660.12038128043),0.00017724569952718168
283,196328291,POINT (98424.9573490009 464092.7023585507),0.0
284,352163056,POINT (176171.54008965555 381560.320177642),0.00020953182200602897
285,352163100,POINT (176276.04008212546 381535.37117473205),3.217602870341868e-05
286,209242050,POINT (104928.15608520713 421315.1848397627),0.0
287,209242049,POINT (104926.59208774478 421257.6918393075),3.7209107544536286e-06
288,412160105,POINT (206341.21929212878 380395.3354297251),1.0186633688732302e-05
289,412161026,POINT (206238.53437324488 380813.093433368),0.0
290,335228015,POINT (167557.56756938726 414100.1546557809),3.8964761150998534e-05
291,335230001,POINT (167769.52660282172 415193.7646602657),8.035258267437447e-05
292,362495056,POINT (181049.26911273535 547650.2125758339),5.711140120783615e-06
293,362495036,POINT (181050.93011180204 547617.193575982),3.3984484834916394e-05
294,210243142,POINT (104905.9230951779 421166.2358392657),0.00014118889257647485
295,355480081,POINT (177508.09758472483 540335.582744086),8.201382756839834e-06
296,355480040,POINT (177524.3605844123 540287.6667437964),2.6647931273698457e-05
297,356033161,POINT (178286.05820431485 316590.88824081706),4.671674040088558e-05
298,356032104,POINT (178306.0911974787 316488.1032452477),3.998889703312137e-05
299,210243143,POINT (105145.31903160873 421665.1078347124),0.00010327627092774312
300,210243248,POINT (105193.68802047893 421725.2028334279),9.395385885731932e-06
301,223475039,POINT (111788.72770271683 537745.4338465062),8.275676612926735e-07
302,224476032,POINT (112044.9667460858 538460.814835649),1.5850132216278842e-06
303,67181088,POINT (33583.85355977407 390652.0705558562),3.3277972487511784e-05
304,67181090,POINT (33625.97753141725 390599.1305536217),2.3506999102417577e-06
305,71181011,POINT (36124.886731209364 391005.3994498642),7.080659587364914e-05
306,72182178,POINT (36216.23952126382 391065.7884464322),2.8663577694408677e-06
307,477451037,POINT (238971.94147859825 525704.636514151),2.8784397345594796e-05
308,479451002,POINT (239694.74715106236 525978.4274816555),1.9529243222615776e-05
309,356028118,POINT (178459.47108869892 314360.8333482112),3.148173668519363e-05
310,356028119,POINT (178474.72408257576 314261.90035290347),7.663205345493702e-06
311,412160104,POINT (206367.32326580762 380236.3004286444),3.2904416137272524e-05
312,307225100,POINT (153534.6546103391 412805.78606657736),3.556661101415149e-05
313,307225099,POINT (153590.52961180662 412856.817065336),7.169547663887303e-05
314,400336100,POINT (200254.35651552147 468046.2381186425),5.099186333953317e-05
315,400336099,POINT (200144.3225076612 467972.3161217567),0.00016532890366904887
316,368374038,POINT (184433.1751276357 487265.3146527938),0.0
317,368374039,POINT (184499.26213308476 487339.1066507447),1.5278420460805643e-05
318,249355184,POINT (124834.31939187873 477675.5975367528),5.362918438367609e-05
319,249355183,POINT (124861.43539463144 477867.4995365576),5.480268805521094e-05
320,479384051,POINT (239914.9771683317 492390.11277751636),1.3062822479433427e-06
321,479385050,POINT (239846.28824744344 492659.0847778339),0.0
322,461488071,POINT (230995.09030755472 544222.203691759),1.4012569210908257e-05
323,462488033,POINT (231039.7123680102 544300.2696893383),0.0002520461181975032
324,479384046,POINT (239921.59515494277 492349.33177760383),3.913140347491147e-06
325,171209043,POINT (85525.36776948097 404732.6044602739),1.0389633757160744e-05
